Name;Verein;Pos;Preis;PI_2016;DN_2016;PI_2017;DN_2017
Altintop;Augsburg;MIT;1,8;17;3,9;65;3,7
Baier;Augsburg;MIT;2,6;61;3,5;87;3,3
Bobadilla;Augsburg;STU;2,5;46;3,6;77;3,1
Caiuby;Augsburg;MIT;2,6;95;3,3;5;3,7
Callsen-Bracker;Augsburg;ABW;1,8;15;3,8;1;
Danso;Augsburg;MIT;0,8;;;-3;4,1
Feulner;Augsburg;MIT;1,6;22;3,7;1;
Finnbogason;Augsburg;STU;2,6;76;3,1;31;3,5
Framberger;Augsburg;ABW;0,2;0;;6;3,5
Friedrich;Augsburg;ABW;1;2;;0;
Gelios;Augsburg;TOR;0,2;0;;0;
Gouweleeuw;Augsburg;ABW;1,6;0;3,9;70;3,2
Günther-Schmidt;Augsburg;STU;0,5;;;0;4,5
Hinteregger;Augsburg;ABW;2;12;3,6;92;3,5
Hitz;Augsburg;TOR;3,7;213;2,7;153;3
Janker;Augsburg;ABW;0,5;3;4,3;3;4
Ji;Augsburg;MIT;1,3;11;4,1;24;4
Kacar;Augsburg;MIT;2;11;3,9;-5;4,2
Kohr;Augsburg;MIT;1,6;18;3,9;41;3,6
Koo;Augsburg;MIT;2,2;89;3,6;6;4
Leitner;Augsburg;MIT;0,8;8;3,8;4;3,8
Luthe;Augsburg;TOR;1;;;24;2
Max;Augsburg;ABW;1,5;19;3,8;9;4
Moravek;Augsburg;MIT;0,8;0;4,3;2;4,1
Rieder;Augsburg;ABW;0,2;0;;-1;4,5
Schmid;Augsburg;MIT;2;23;3,9;2;4,1
Schuster;Augsburg;MIT;0,3;0;;0;
Stafylidis;Augsburg;ABW;1;0;4,3;61;3,7
Teigl;Augsburg;ABW;1;;;7;4
Usami;Augsburg;MIT;1,8;;;0;4,3
Verhaegh;Augsburg;ABW;2,5;105;3,3;41;3,8
Alaba;Bayern;ABW;4,5;119;3;111;3,3
Benko;Bayern;MIT;0,2;;;0;
Boateng;Bayern;ABW;4,5;91;2,7;40;3,1
Coman;Bayern;MIT;4,5;111;3;48;3,3
Dorsch;Bayern;MIT;0,2;;;0;
Douglas Costa;Bayern;MIT;7,5;148;2,9;67;3,5
Hummels;Bayern;ABW;4,5;148;2,9;127;2,8
Javi Martinez;Bayern;ABW;4;85;2,6;111;3
Juan Bernat;Bayern;ABW;2,5;20;3,7;59;3,2
Kimmich;Bayern;MIT;4,5;62;3,1;65;3,5
Lahm;Bayern;ABW;4,3;109;3;134;2,7
Lewandowski;Bayern;STU;8,5;286;2,6;291;2,7
Müller;Bayern;MIT;8,5;247;2,7;94;3,4
Neuer;Bayern;TOR;4,5;198;2,8;147;2,9
Rafinha;Bayern;ABW;2;50;3,5;47;3,3
