Name;Verein;Pos;Preis;PI_2016;DN_2016
Zulj;Hoffenheim;MIT;1,2;;
Zuber;Hoffenheim;ABW;2,6;83;3,3
Zoller;Köln;STU;1,6;12;4
Zimmermann;Stuttgart;MIT;1,8;;
Zimmermann;E. Frankfurt;TOR;0,6;;
Zimmer;Stuttgart;ABW;1,6;;
Zieler;Stuttgart;TOR;2,4;;
Ziegele;Wolfsburg;ABW;0,2;0;
Zhang;Bremen;STU;1;;
Zetterer;Bremen;TOR;0,7;0;
Zentner;Mainz;TOR;0,3;;
Zakaria;Gladbach;MIT;2,4;;
Zagadou;Dortmund;ABW;0,6;;
Yurchenko;Leverkusen;MIT;0,7;4;3,5
Yatabaré;Bremen;MIT;0,5;-10;5,3
Wright;Schalke;STU;0,4;0;
Wood;HSV;STU;2,4;-5;4,2
Wolf;E. Frankfurt;MIT;0,8;7;3,3
William;Wolfsburg;ABW;1,8;;
Werner;Leipzig;STU;6,4;236;2,8
Werner;Stuttgart;MIT;1,2;0;
Wendt;Gladbach;ABW;2,5;68;3,5
Wendell;Leverkusen;ABW;2,2;26;3,8
Weiser;Hertha;MIT;3,2;68;3,1
Weigl;Dortmund;MIT;4,8;78;3,3
Weidenfeller;Dortmund;TOR;1;14;3,5
Waldschmidt;HSV;STU;0,8;-7;4,9
Walace;HSV;MIT;1,6;-20;4,7
Wagner;Hoffenheim;STU;4,8;142;3,2
Volland;Leverkusen;STU;4,5;46;3,6
Vogt;Hoffenheim;ABW;2,8;115;3,1
Villalba;Gladbach;STU;0,2;;
Vieirinha;Wolfsburg;MIT;2;-26;4,4
Vidal;Bayern;MIT;7;75;3,4
Vestergaard;Gladbach;ABW;3,5;99;3,4
Verhaegh;Augsburg;ABW;2;41;3,8
Veljkovic;Bremen;ABW;1,5;36;3,6
Uth;Hoffenheim;STU;2,7;84;3,1
Usami;Augsburg;MIT;1,5;0;4,3
Upamecano;Leipzig;ABW;1,5;16;3,6
Ulreich;Bayern;TOR;1;22;3,1
Uduokhai;Wolfsburg;ABW;0,8;;
Uchida;Schalke;ABW;1,5;0;
Tschauner;Hannover;TOR;1,8;;
Träsch;Wolfsburg;ABW;1,6;9;3,8
Traoré;Gladbach;MIT;2,2;47;3,1
Torunarigha;Hertha;ABW;1,2;13;3,9
Toprak;Dortmund;ABW;3,6;57;3,5
Toljan;Hoffenheim;ABW;2;40;3,5
Tolisso;Bayern;MIT;4,8;;
Thommy;Augsburg;MIT;1;;
Thoelke;HSV;ABW;1,5;;
Thiago;Bayern;MIT;8;172;2,7
Terrazzino;Hoffenheim;MIT;1,5;22;3,4
Terodde;Stuttgart;STU;2,7;;
Tekpetey;Schalke;MIT;0,3;2;
Teigl;Augsburg;MIT;0,8;7;4
Tawatha;E. Frankfurt;ABW;1,6;2;4,1
Tah;Leverkusen;ABW;2,8;69;3,1
Szalai;Hoffenheim;STU;2,4;73;3,1
Sverko;Mainz;ABW;0,7;0;
Süle;Bayern;ABW;3,6;142;3
Subotic;Dortmund;ABW;1,5;21;3,5
Strobl;Gladbach;MIT;1,5;10;3,9
Stolz;Hoffenheim;TOR;0,6;0;
Stocker;Hertha;MIT;2;22;3,8
Stindl;Gladbach;STU;5,5;142;3,2
Stenzel;Freiburg;ABW;1,8;36;3,6
Stendera;E. Frankfurt;MIT;1,7;2;3,8
Stefaniak;Wolfsburg;MIT;1,5;;
Stark;Hertha;ABW;3;90;3,3
Stanko;Freiburg;MIT;1;;
Stambouli;Schalke;MIT;2;-8;4,2
Stafylidis;Augsburg;ABW;2;61;3,7
Söyüncü;Freiburg;ABW;2;46;3,6
Sorg;Hannover;ABW;1,5;;
Sörensen;Köln;ABW;2,4;73;3,5
Sommer;Gladbach;TOR;3,7;155;3
Sokratis;Dortmund;ABW;4;117;3,1
Skjelbred;Hertha;MIT;2,4;63;3,4
Skenderovic;Hoffenheim;STU;0,3;;
Sippel;Gladbach;TOR;0,8;0;
Simakala;Gladbach;STU;0,2;1;
Sierro;Freiburg;MIT;0,6;0;
Seydel;Mainz;STU;1,4;3;3,5
Serdar;Mainz;MIT;1,5;9;3,9
Seo;HSV;ABW;0,2;0;
Selke;Hertha;STU;2,6;22;4,1
Seguin;Wolfsburg;MIT;1,7;13;3,9
Schwolow;Freiburg;TOR;3,5;190;2,8
Schwegler;Hannover;MIT;1,8;15;3,4
Schuster;Freiburg;MIT;1,2;16;3,7
Schürrle;Dortmund;STU;3,5;42;3,4
Schulz;Hoffenheim;ABW;1,8;30;3,3
Schreck;Leverkusen;MIT;0,2;0;
Schöpf;Schalke;MIT;2,7;72;3,6
Schmitz;Leipzig;ABW;1;25;3,6
Schmiedebach;Hannover;MIT;2;;
Schmidt;Bremen;MIT;0,2;0;
Schmid;Augsburg;MIT;1,6;2;4,1
Schmelzer;Dortmund;ABW;2,8;82;3,2
Schipplock;HSV;STU;1,4;-15;4,4
Schieber;Hertha;STU;1,2;16;4,4
Schär;Hoffenheim;ABW;1,4;-5;4,2
Sarpei;Stuttgart;MIT;0,4;;
Sarenren Bazee;Hannover;MIT;1,4;;
Sané;Hannover;ABW;2,4;;
Sané;Bremen;ABW;1,8;29;3,8
Sam;Schalke;MIT;1,1;19;3,9
Salcedo;E. Frankfurt;ABW;2,2;;
Sakai;HSV;ABW;1,3;5;4,1
Sahin-Radlinger;Hannover;TOR;0,3;;
Sahin;Dortmund;MIT;2,5;15;3
Sabitzer;Leipzig;MIT;6;159;3,1
Russ;E. Frankfurt;ABW;1,5;-1;4,2
Rupp;Hoffenheim;MIT;2;38;3,3
Rudy;Bayern;MIT;4,5;169;2,9
Rudnevs;Köln;STU;1,5;43;3,4
Ronstadt;HSV;MIT;0,2;0;
Rode;Dortmund;MIT;2;-7;4,4
Robben;Bayern;MIT;8,5;227;2,4
Ritzka;Hannover;ABW;0,2;;
Risse;Köln;MIT;2,7;62;3
Risa;Köln;STU;0,2;0;
Rieder;Augsburg;MIT;0,2;-1;4,5
Richter;Augsburg;MIT;0,2;;
Ribery;Bayern;MIT;7,2;128;2,6
Reus;Dortmund;MIT;7;117;2,9
Renato Sanches;Bayern;MIT;2,6;1;4,2
Rekik;Hertha;ABW;2,4;;
Reimann;Dortmund;TOR;0,2;;
Regäsel;E. Frankfurt;ABW;0,5;0;
Reese;Schalke;STU;0,6;0;4,5
Rausch;Köln;MIT;2,2;34;3,7
Ramalho;Leverkusen;ABW;1,2;26;3,6
Rafinha;Bayern;ABW;2;47;3,3
Raffael;Gladbach;STU;4,8;77;3,3
Quaison;Mainz;MIT;0,6;15;3,8
Pulisic;Dortmund;MIT;2,6;68;3,4
Prib;Hannover;MIT;1,8;;
Poulsen;Leipzig;STU;3,4;114;3,1
Posch;Hoffenheim;ABW;0,2;0;
Porath;HSV;MIT;0,3;1;
Pollersbeck;HSV;TOR;1,8;;
Polanski;Hoffenheim;MIT;1,8;21;3,5
Pohjanpalo;Leverkusen;STU;1,6;37;3,2
Plattenhardt;Hertha;ABW;3,2;95;3,4
Platte;Schalke;STU;0,8;27;3,4
Piszczek;Dortmund;ABW;3,5;101;3,3
Philipp;Dortmund;STU;3;110;3,2
