name;tm;nat;age;pos;cm;kg;app;min;G;A;yel;red;spG;pa%;aerWon;moM;tac;int;fouls;offW;clear;drbP;blcks;ownG;KP;drb;fouled;cOff;disp;unsT;avgP;crosses;longB;thrB
Milos Pantovic;Bayern Munich;rs;21;Forward;185;67;0(1);1;-;-;-;-;-;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-
Xabi Alonso;Bayern Munich;es;35;M(C);183;80;23(3);1947;-;2;5;1;0.5;90.7;1.6;-;2.1;1.7;1.3;0.3;0.8;1.2;0.1;1;1.6;0.2;1.4;-;0.3;0.5;90.1;0.8;4.2;-
Arturo Vidal;Bayern Munich;cl;30;M(C);180;75;24(6);2048;4;5;3;-;1.7;90.2;1.6;4;2.7;1.3;2;0.1;0.6;1;0.2;-;1.6;0.2;1.3;0.2;0.4;0.5;67.8;0.4;3.3;0.1
Javi Martínez;Bayern Munich;es;28;D(C),M(C);190;81;11(5);1104;1;1;2;-;0.8;89.8;3.1;2;1.4;1.4;1;0.2;2;0.2;0.3;-;0.5;0.1;0.8;-;0.4;0.4;56.8;0.1;1.9;-
Serdar Tasci;Bayern Munich;de;30;D(C);186;80;3;220;-;-;1;-;0.3;89.4;2.3;-;0.3;2;1;0.7;1.7;-;0.7;-;-;-;0.3;-;-;-;63;-;1.7;-
Sebastian Rode;Bayern Munich;de;26;D(R),M(C);179;75;3(12);399;1;1;1;-;0.5;86.9;0.2;1;0.6;0.3;0.8;-;0.2;0.1;0.1;-;0.2;0.2;0.3;-;0.2;0.1;20.9;0.1;0.3;-
Rafinha;Bayern Munich;br;31;D(CLR),M(R);172;68;18(7);1748;-;3;7;-;0.4;92.6;0.7;-;1.3;1.5;0.9;0.3;0.8;0.4;0.2;-;0.8;0.5;0.9;-;0.2;0.5;72.1;0.4;2.6;-
Sven Ulreich;Bayern Munich;de;29;GK;192;84;0(1);39;-;-;-;-;-;62.5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16;-;2;-
Jérôme Boateng;Bayern Munich;de;28;D(CR);192;90;17(2);1353;-;3;3;1;0.4;86.5;1.6;-;0.7;1.6;0.5;0.8;2.2;0.3;0.2;-;0.7;0.2;0.2;-;0.1;0.3;68.4;0.2;7.2;0.1
Philipp Lahm;Bayern Munich;de;33;D(R),DMC;170;66;25(1);2200;1;1;3;-;0.4;90.8;1;1;0.9;1.6;0.4;0.2;0.7;0.5;0.2;-;1.9;0.4;0.7;0.1;0.2;0.4;76.5;0.3;3.2;0.1
Dante;Bayern Munich;br;33;D(C);188;87;0(1);17;-;-;-;-;-;94.7;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;19;-;2;-
Kingsley Coman;Bayern Munich;fr;21;AM(LR),FW;178;71;20(3);1688;4;6;-;-;1.6;84.5;0.6;2;0.6;0.4;0.6;-;0.2;0.6;-;-;1.5;3.7;2;0.1;0.7;1.3;34.8;0.7;0.3;-
Thiago Alcántara;Bayern Munich;es;26;M(C);174;70;16(11);1637;2;3;2;-;1.1;88.2;1;3;2.5;1.5;1.3;0.1;0.2;0.7;0.1;-;1.4;1.8;1.3;0.1;0.8;1;58.5;0.4;3.7;0.1
Arjen Robben;Bayern Munich;nl;33;M(CLR),FW;180;80;14(1);1101;4;1;1;-;3.5;80.4;0.5;1;0.3;0.4;0.3;-;0.1;0.3;-;-;1.8;1.7;0.9;0.7;0.8;1;38.1;0.6;1.3;0.1
Franck Ribéry;Bayern Munich;fr;34;AM(L);170;72;6(7);683;2;3;1;-;1;81.3;-;1;0.1;0.5;0.8;-;0.2;0.8;-;-;2.1;2.4;1;0.6;0.5;0.7;39.5;0.7;1.5;-
Mario Götze;Bayern Munich;de;25;M(CLR),FW;176;75;11(3);957;3;4;1;-;1.3;86.9;0.4;1;1.1;0.4;1.6;-;0.2;0.9;-;-;1.3;1.4;0.8;0.7;0.9;1.7;37.6;0.3;0.4;0.1
David Alaba;Bayern Munich;at;25;D(CL),M(C);180;76;27(3);2492;1;-;2;-;0.9;92.4;1;-;0.8;1.4;0.4;0.4;1.4;0.2;0.2;-;0.6;0.5;0.5;-;0.3;0.6;81.6;0.2;2.8;-
Manuel Neuer;Bayern Munich;de;31;GK;193;92;34;3021;-;-;-;-;-;80.8;0.1;1;-;-;-;-;0.5;-;-;-;-;-;0.1;-;-;-;32.7;-;5.3;-
Thomas Müller;Bayern Munich;de;27;M(CLR),FW;186;75;26(5);2345;20;5;4;-;3;77;1.7;3;0.8;0.5;0.8;-;0.5;0.6;-;-;1.9;1.2;0.9;0.4;1.1;1.5;34.1;0.2;0.9;-
Douglas Costa;Bayern Munich;br;26;M(CLR);170;65;23(4);1973;4;9;1;-;2.4;80.1;0.1;3;0.7;0.6;1;-;0.2;0.4;-;-;1.8;3.3;0.8;0.4;0.7;1.3;34.8;1.3;1;-
Juan Bernat;Bayern Munich;es;24;D(L),M(L);170;67;13(3);1149;-;1;2;-;0.6;90.7;1.3;-;1.3;1.6;0.7;0.3;1.3;0.4;0.1;-;0.4;1.1;0.8;-;0.6;0.6;50.8;0.2;1.2;-
Medhi Benatia;Bayern Munich;ma;30;D(C);190;92;11(3);980;1;2;2;-;0.6;89.6;3.6;-;1.2;2.4;1.1;1;2.3;0.4;0.2;-;0.2;0.4;0.4;0.1;-;0.4;59.8;-;1.9;-
Holger Badstuber;Bayern Munich;de;28;D(CL);190;84;5(2);470;-;-;-;-;0.4;91.1;3.3;-;0.7;0.6;0.4;1;3;-;-;-;0.3;-;0.3;-;-;-;54.4;-;2;-
